date,Sessions,Page_Views,New_Visitors,Hits,Time_onsite(minutes),bounces_offsite,Revenue(Rs/.),Total_Revenues,is_direct,is_mobile,Session_qual,Avg_session_duration(minutes),Bounce_Rate(%age),Conversion_Rate(%age),Channel
2020-08-01,1,4,1,7,2,0,0.0,0.0,0,0,0,2,0.0,0,Organic Search
2020-08-01,1,13,1,5,10,0,1699.0,2399.0,0,0,0,10,0.0,100.0,Organic Search
2020-08-01,1,2,1,7,1,0,0.0,0.0,0,1,0,1,0.0,0,Direct
2020-08-01,1,5,1,16,6,0,0.0,0.0,1,0,0,6,0.0,0,Social
2020-08-01,1,3,1,3,1,0,0.0,0.0,0,0,0,1,0.0,0,Organic Search
2020-08-01,2,6,0,6,2,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,1,2,1,4,1,0,0.0,0.0,1,1,0,1,0.0,0,Organic Search
2020-08-01,152,10,0,6,16,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,6,6,0,2,3,0,0.0,0.0,1,0,0,1,0.0,0,Social
2020-08-01,1,3,1,3,13,0,0.0,0.0,1,1,0,13,0.0,0,Direct
2020-08-01,3,4,0,15,2,0,0.0,0.0,0,0,0,1,0.0,0,Social
2020-08-01,1,4,1,2,1,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,1,3,1,6,3,0,0.0,0.0,0,0,0,3,0.0,0,Organic Search
2020-08-01,1,3,1,4,2,0,0.0,0.0,1,1,0,2,0.0,0,Direct
2020-08-01,4,1,0,4,2,1,0.0,0.0,1,1,0,1,0.09,0,Referral
2020-08-01,14,3,0,4,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,39,3,0,3,3,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,26,3,0,3,1,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,2,5,0,4,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,1,7,1,6,2,0,0.0,0.0,0,0,0,2,0.0,0,Direct
2020-08-01,1,5,1,1,3,0,0.0,0.0,1,0,0,3,0.0,0,Organic Search
2020-08-01,1,4,1,5,5,0,0.0,0.0,1,0,0,5,0.0,0,Organic Search
2020-08-01,28,3,0,3,1,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,1,3,1,3,1,0,0.0,0.0,0,0,0,1,0.0,0,Display
2020-08-01,1,4,1,4,2,0,0.0,0.0,1,1,0,2,0.0,0,Referral
2020-08-01,1,1,1,5,2,1,0.0,0.0,0,1,0,2,0.09,0,Direct
2020-08-01,12,6,0,7,1,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,1,2,1,7,1,0,0.0,0.0,0,0,0,1,0.0,0,Direct
2020-08-01,1,7,1,5,9,0,0.0,0.0,1,0,0,9,0.0,0,Direct
2020-08-01,1,6,1,4,3,0,0.0,0.0,1,0,0,3,0.0,0,Referral
2020-08-01,1,3,1,3,2,0,0.0,0.0,1,1,0,2,0.0,0,Direct
2020-08-01,1,3,1,3,1,0,0.0,0.0,0,0,0,1,0.0,0,Referral
2020-08-01,1,4,1,2,1,0,0.0,0.0,0,0,0,1,0.0,0,Referral
2020-08-01,3,6,0,4,11,0,0.0,0.0,1,0,0,4,0.0,0,Direct
2020-08-01,1,4,1,4,2,0,0.0,0.0,0,0,0,2,0.0,0,Referral
2020-08-01,1,3,1,1,6,0,0.0,0.0,0,0,0,6,0.0,0,Organic Search
2020-08-01,6,3,0,6,1,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,1,4,1,2,2,0,0.0,0.0,0,0,0,2,0.0,0,Organic Search
2020-08-01,1,4,1,4,1,0,0.0,0.0,0,0,0,1,0.0,0,Organic Search
2020-08-01,1,5,1,7,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,5,5,0,6,2,0,0.0,0.0,0,0,0,1,0.0,0,Referral
2020-08-01,1,4,1,6,2,0,0.0,0.0,0,0,0,2,0.0,0,Direct
2020-08-01,1,1,1,3,2,1,0.0,0.0,0,1,0,2,0.09,0,Direct
2020-08-01,1,2,1,5,1,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,1,3,1,7,2,0,0.0,0.0,1,1,0,2,0.0,0,Referral
2020-08-01,5,3,0,8,1,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,1,3,1,6,1,0,0.0,0.0,0,0,0,1,0.0,0,Organic Search
2020-08-01,7,1,0,4,2,1,0.0,0.0,1,0,0,1,0.09,0,Social
2020-08-01,16,4,0,4,1,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,1,6,1,7,3,0,0.0,0.0,0,0,0,3,0.0,0,Referral
2020-08-01,1,3,1,3,1,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,1,3,1,4,4,0,0.0,0.0,0,0,0,4,0.0,0,Referral
2020-08-01,1,7,1,6,3,0,0.0,0.0,0,0,0,3,0.0,0,Social
2020-08-01,3,1,0,6,2,1,0.0,0.0,1,1,0,1,0.09,0,Referral
2020-08-01,2,2,0,5,5,0,0.0,0.0,1,0,0,3,0.0,0,Direct
2020-08-01,36,7,0,2,2,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,3,7,0,7,12,0,0.0,0.0,1,0,0,4,0.0,0,Direct
2020-08-01,1,3,1,3,3,0,0.0,0.0,0,0,0,3,0.0,0,Organic Search
2020-08-01,180,5,0,5,2,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,1,8,1,5,3,0,0.0,0.0,1,0,0,3,0.0,0,Referral
2020-08-01,6,3,0,1,1,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,1,4,1,2,2,0,0.0,0.0,1,0,0,2,0.0,0,Direct
2020-08-01,21,4,0,3,1,0,0.0,0.0,1,1,0,1,0.0,0,Direct
2020-08-01,4,4,0,3,2,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,1,3,1,5,2,0,0.0,0.0,0,0,0,2,0.0,0,Direct
2020-08-01,1,4,1,3,2,0,0.0,0.0,1,0,0,2,0.0,0,Organic Search
2020-08-01,6,4,0,1,2,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,1,5,1,5,2,0,0.0,0.0,1,0,0,2,0.0,0,Organic Search
2020-08-01,24,4,0,4,3,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,2,4,0,8,1,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,25,1,0,3,2,1,0.0,0.0,1,0,0,1,0.09,0,Direct
2020-08-01,5,7,0,4,3,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,1,3,1,5,1,0,0.0,0.0,0,0,0,1,0.0,0,Direct
2020-08-01,1,5,1,4,2,0,0.0,0.0,1,1,0,2,0.0,0,Organic Search
2020-08-01,2,4,0,7,2,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,3,5,0,1,8,0,0.0,0.0,0,1,0,3,0.0,0,Organic Search
2020-08-01,1,4,1,3,24,0,0.0,0.0,1,0,0,24,0.0,0,Referral
2020-08-01,1,4,1,7,13,0,0.0,0.0,0,0,0,13,0.0,0,Direct
2020-08-01,1,3,1,7,1,0,0.0,0.0,1,1,0,1,0.0,0,Organic Search
2020-08-01,1,5,1,4,3,0,0.0,0.0,1,1,0,3,0.0,0,Direct
2020-08-01,1,2,1,4,1,0,0.0,0.0,0,0,0,1,0.0,0,Organic Search
2020-08-01,1,2,1,5,2,0,0.0,0.0,1,1,0,2,0.0,0,Direct
2020-08-01,2,4,0,8,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,2,6,0,4,2,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,151,3,0,3,9,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,2,4,0,4,3,0,0.0,0.0,1,1,0,2,0.0,0,Direct
2020-08-01,1,7,1,5,29,0,0.0,0.0,0,0,0,29,0.0,0,Direct
2020-08-01,2,1,0,4,2,1,0.0,0.0,1,1,0,1,0.09,0,Direct
2020-08-01,1,2,1,20,1,0,0.0,0.0,1,0,0,1,0.0,0,Social
2020-08-01,1,2,1,5,1,0,0.0,0.0,0,0,0,1,0.0,0,Social
2020-08-01,10,2,0,5,1,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,7,3,0,5,1,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,2,4,0,4,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,1,7,1,4,4,0,0.0,0.0,1,1,0,4,0.0,0,Referral
2020-08-01,8,5,0,5,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,2,4,0,5,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,1,3,1,3,1,0,0.0,0.0,0,0,0,1,0.0,0,Direct
2020-08-01,1,4,1,5,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,1,4,1,1,2,0,0.0,0.0,1,0,0,2,0.0,0,Organic Search
2020-08-01,1,3,1,10,1,0,0.0,0.0,1,0,0,1,0.0,0,Social
2020-08-01,69,4,0,3,3,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,1,9,1,6,3,0,0.0,0.0,0,0,0,3,0.0,0,Direct
2020-08-01,3,5,0,5,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,5,2,0,5,1,0,0.0,0.0,1,0,0,1,0.0,0,Social
2020-08-01,1,3,1,3,3,0,0.0,0.0,0,1,0,3,0.0,0,Organic Search
2020-08-01,7,2,0,4,1,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,2,2,0,2,1,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,2,2,0,7,1,0,0.0,0.0,1,0,0,1,0.0,0,Organic Search
2020-08-01,1,4,1,6,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,1,5,1,2,2,0,0.0,0.0,1,0,0,2,0.0,0,Direct
2020-08-01,2,3,0,4,1,0,0.0,0.0,0,1,0,1,0.0,0,Referral
2020-08-01,1,2,1,4,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
2020-08-01,1,3,1,6,1,0,0.0,0.0,0,1,0,1,0.0,0,Direct
2020-08-01,1,1,1,2,2,0,0.0,0.0,1,0,0,2,0.09,0,Organic Search
2020-08-01,1,3,1,3,2,0,0.0,0.0,1,1,0,2,0.0,0,Direct
2020-08-01,1,1,1,5,2,1,0.0,0.0,0,0,0,2,0.09,0,Referral
2020-08-01,2,2,0,6,17,0,0.0,0.0,1,0,0,9,0.0,0,Organic Search
2020-08-01,1,4,1,3,1,0,0.0,0.0,0,1,0,1,0.0,0,Social
2020-08-01,1,2,1,4,1,0,0.0,0.0,0,1,0,1,0.0,0,Organic Search
2020-08-01,1,4,1,5,1,0,0.0,0.0,0,0,0,1,0.0,0,Direct
2020-08-01,1,1,1,10,2,1,0.0,0.0,1,0,0,2,0.09,0,Social
2020-08-01,7,3,0,2,1,0,0.0,0.0,1,0,0,1,0.0,0,Referral
2020-08-01,1,3,1,1,1,0,0.0,0.0,1,0,0,1,0.0,0,Direct
