ReviewDate,Comment_id,ReviewDesc,ReviewerName,Rating,product_name,Product_ids
2019-04-10,10980,"it was great experience i never had in my life . i had a great time there .we enjoyed alot  .The whole team made my day !!!thanks to bookthesurprise .
",vani,5,Surprise Visit to Old Age Home – Bangalore,18178
2019-03-27,10795,"good work and good delivery. I gifted to my brother on his birthday. he felts very happily and  yummy tasty
",sathya,5,BTS Lemon Blueberry Cake,6168
2019-11-27,17706,"The pillow was really soft and the quality was also good. I loved it
",Priyanka,5,Cuddle Pillow,17352
2019-11-27,17831,Very soft,Priyanka,4,Saxophone Lamp,17333
2018-12-21,10194,For 1 birth too cute!!,Mohin,4,BTS Vanilla Chocolate Cake,5932
2018-12-21,10189,"Thank you so much, it really was the highlight of the party, everyone was so shocked and amazed at how wonderful it looked. And it tasted just as wonderful!!! 🙂
",Akarsh,5,BTS Mixed Fresh Fruit Cake,18282
2019-11-26,17490,"Ordered these cupcakes for my MOM on her birthday. She really loved it. It was really tasty
",Priyanka,5,BTS 6 MOM Cupcakes,22558
2019-11-27,17708,"Nice. I am really happy with the quality of the product.
",Priyanka,5,Love Abstract Cushion,17273
2019-01-11,10338,"These are too beautiful. Nice concept. Thanks for the quick delivery.
",Praveen,5,Couple Personalized Pillow Set,17277
2018-12-11,9982,"Many thanks for the beautiful cake you delivered and set up for our daughter’s Wedding anniversary.
",Narayan,5,BTS Mixed Fresh Fruit Cake,6168
2018-12-19,10142,"Lovely flowers arrived on time. Will definitely recommend to friends.
",Gulshan,5,BTS Memorable Expression,15848
2018-12-19,10138,"The service is outstanding, mostly the flowers they are absolutely beautiful. Thank you
",Baji,5,BTS A True Hug,15843
2019-03-27,10795,"good work and good delivery. I gifted to my brother on his birthday. he felts very happily and  yummy tasty
",sathya,5,BTS Lemon Blueberry Cake,15928
2019-04-16,11038,"great experience
Very impressed with the whole process from start to finish! Lovely people, professional service and the materials are good quality Thank You bookthesurprise .
",komal,5,Momentous Milestones,17229
2019-03-28,10814,"I like the blueberry cake. good deliver BTS team. thank you
",hasini reddy,5,BTS Blueberry Cake,6100
2019-11-26,17291,"All right, except some information on the characteristics of the product does not proceed ",Priyanka,3,"Balloons, You & Pikachu!",5278
2019-04-29,11412,"perfect gift I presented this gift on my friends birthday. superb fantastic gift!!!!!!!!!!!!!!
",sai,5,Hug Me – Birthday Surprise,17609
2019-04-26,11409,"first class super surprise on mothers day .we had enjoyed the whole surprise event. my mother felt very happy.
",mounika ,5,Majestic Mother’s Day Surprise,18216
2018-12-26,10198,"Beautiful, fresh, vibrant flowers delivered on time. Good service
",Sangeetha,5,BTS Charm,15838
2019-05-31,12468,"good frame 
",kavya ,5,You Are My Soymate,17368
2019-05-30,12358,"great, we had a great time and a nice surprise we invited Pikachu on my sons birthday.
",sitha ,5,Invite Pikachu At Home,17987
2019-02-25,10564,I can not evaluate what I did not receive ,Prasad,1,Blow Me – Say Get Well Soon,17722
2019-01-11,10332,"NIce mug with good design. I like it. I gifted it to my partner he likes it a lot. Thanks again.
",Anjana,5,My Majes-tea Mug,17263
2019-05-24,12227,"I love these flowers.i have ordered this on my friend birthday . quick delivery
",harika,5,BTS Charming Red Roses,15873
2019-04-04,10887,"great work BTS team. very nice idea. I surprised my daughter on her birthday
",sai,5,Pop Me Balloon Surprise,31423
2019-05-07,11848,"I love the flavour of the butterscotch.so yummy 
",ravi prakash,5,BTS Butterscotch Tickle,5882
2019-06-14,12882,"great nice surprise .they made it time and the gifts were fantastic 
",thanmayi,5,"Balloons, You & Pikachu!",18117
2019-11-27,17927,"Very nice written letters. The quality of the paper used was also good. I loved it
",Priyanka,5,Personalized Letters from Santa,17167
2019-05-18,12028,it cost  very good. ,Martha,3,Hey Hot-Tea,17268
2018-12-19,10141,"Quick and easy to order and a very happy recipient. Thanks for the efficient service!
",Akshitha,5,BTS Romantic Love,15858
2018-12-06,9882,"A sealed box was delivered, but only 1 product was inside the box. ",Anonymous user,2,BTS Dark Chocolate Magic Cake,6100
2019-03-05,10607,"Good service by the delivery boy.
",kiran,5,Photo Film Book,17507
2019-04-22,11135,"Bought these lovely flowers for my friends birthday. The colour of roses are fantastic Great service, I will be using them again for sure..
",prabha,5,BTS Desirable Yellow Roses,15879
2019-04-02,10863,"nice flowers. we felt happy with your delivery. I love the flowers.
",jyothi,5,BTS Wonderful Twenty,15833
2019-11-27,17913,"The concept was really good. The chocolates were also tasty and fresh. I am happy with the surprise
",Priyanka,5,Chocolate Egg Surprise With Crackers,19053
2019-06-07,12675,"the surprise gift was excellent she loved it alot. Thanks
",sandeep,5,Dead Cool – Chilling In Love,17362
2019-05-18,11991,"Excellent work! Always is. I will be submitting one more request in the next couple of days. Thank you.
",sunny ,5,Black Ink Caricature,28719
2019-05-21,12082,It was sent me just one of the items. The purple fantasy quilt was not sent. ,divena,1,Lulfu Lamp,17329
2019-04-16,11038,"great experience
Very impressed with the whole process from start to finish! Lovely people, professional service and the materials are good quality Thank You bookthesurprise .
",komal,5,Momentous Milestones,17229
2019-11-27,17791,"Beautiful rakhi for your brother
",Priyanka,5,Bestest Brother Rakhi,18587
2019-04-24,11222,"fast delivery the flowers was fresh 
",geetha ,5,BTS Perform My Love,15822
2019-01-18,10360,"Super cute, but really expensive. The sound could be a bit better, but already super sweet when the belly moves and glows.",Madan,4,Romantic Love Contract,17186
2019-11-27,17907,I thought the hooks were bigger but it's good !! ,Priyanka,3,Dazzling Diwali Mug,19032
2019-05-20,12049,"Wow@ I never expect this mug. Whole love story put on one mug. Its vey beautiful.Thank you BTS team
",Radhika prasad,5,My Cup Of Tea,17309
2018-12-10,9953,"Awesome flowers. Our occasion became more special with these flowers. Thank you.
",Krithik,5,BTS Desirable Yellow Roses,15879
2019-05-27,12289,"i loved it a lot 
",supriya,5,I Love This Peeling – Let’s Stick Together,17362
2018-12-18,10129,"Completely flattered by the taste…Made me convince that cakes can change your entire mood…
",shahin,5,BTS Pineapple Awe,5832
2019-05-07,11795,"a great gift to give .the delivery is on time 
",goutham,5,BTS Perform My Love,15822
2019-05-20,12045,"great…it is amazing feeling. i like it so much. BTS team perfect work
",bargavi,5,Momentous Milestones,22887
