product_name,product_link,product_price(₹),product_ratings(out of 5),product_description,sub-category,Category,product_ids,comment_ids
3D Butterfly Wooden Lamp,https://www.bookthesurprise.com/surprise/3d-butterfly-wooden-lamp/,2199.0,5.0,Luminous Butterfly Lamp – Let The Light of Happiness Flutter Inside The Room! ,3d-lamps,Surprise-Gifts,17311,comment-10376
Lovers Lamp,https://www.bookthesurprise.com/surprise/lovers-lamp/,2199.0,5.0,A 3D lamp that portrays two lovers deeply in love just like you and your partner,3d-lamps,Surprise-Gifts,17314,comment-10388
I Love You Lamp,https://www.bookthesurprise.com/surprise/i-love-you-lamp/,2199.0,5.0,This cute 3D lamp has “I love you” written on it in a beautiful manner for you and your loved one,3d-lamps,Surprise-Gifts,17318,comment-10387
Stars & Moon Lamp,https://www.bookthesurprise.com/surprise/stars-moon-lamp/,2199.0,5.0,3D lamp with stars and moon design is an amazing gift to give your loved one.,3d-lamps,Surprise-Gifts,17321,comment-10400
Guitar Lamp,https://www.bookthesurprise.com/surprise/guitar-lamp/,2199.0,5.0,"Know someone who loves music, then this 3D lamp with guitar design is perfect for them",3d-lamps,Surprise-Gifts,17325,comment-10399
Lulfu Lamp,https://www.bookthesurprise.com/surprise/lulfu-lamp/,2199.0,5.0,3D lamp with music notes on it for friends and family who are passionate about music,3d-lamps,Surprise-Gifts,17329,comment-10398
Saxophone Lamp,https://www.bookthesurprise.com/surprise/saxophone-lamp/,2199.0,5.0,3D lamp with a saxophone design for loved ones who love listening to music,3d-lamps,Surprise-Gifts,17333,comment-10397
Snowyman Lamp,https://www.bookthesurprise.com/surprise/snowyman-lamp/,2199.0,5.0,This beautiful 3D lamp with a snowman design is a perfect gift for christmas or any occasion,3d-lamps,Surprise-Gifts,17336,comment-10396
Heart Lamp,https://www.bookthesurprise.com/surprise/heart-lamp/,2199.0,5.0,A very romantic 3D lamp with many hearts displayed on it in a beautiful manner,3d-lamps,Surprise-Gifts,17340,comment-10395
Glow Of Love – 3D Lamp,https://www.bookthesurprise.com/surprise/glow-of-love-3d-lamp/,2499.0,5.0,3D illusion lamp that displays a heart in a quirky way is an amazing gift for your loved one,3d-lamps,Surprise-Gifts,17442,comment-10382
Radiate Love – 3D Lamp,https://www.bookthesurprise.com/surprise/radiate-love-3d-lamp/,2499.0,5.0,"3D lamp with the very romantic design, filled with hearts and the word “love” displayed in a beautiful way",3d-lamps,Surprise-Gifts,17450,comment-10392
Flames Of Love – 3D Lamp,https://www.bookthesurprise.com/surprise/flames-of-love-3d-lamp/,2499.0,5.0,This 3D lamp has a very unique design with the words “I Love You” written in a very romantic way,3d-lamps,Surprise-Gifts,17457,comment-10383
Radiant Romance – 3D Lamp,https://www.bookthesurprise.com/surprise/radiant-romance-3d-lamp/,2499.0,5.0,"A romantic 3D lamp displaying a cute couple in a moonlit, starry night is perfect for the two of you",3d-lamps,Surprise-Gifts,17464,comment-10393
Gleaming Couple – 3D Lamp,https://www.bookthesurprise.com/surprise/gleaming-couple-3d-lamp/,2499.0,5.0,This 3D lamp is the cutest design that your dear one will love a lot,3d-lamps,Surprise-Gifts,17470,comment-10381
Emoji Glow – 3D Lamp,https://www.bookthesurprise.com/surprise/emoji-glow-3d-lamp/,2499.0,5.0,A cute 3D lamp with an emoji design that will bring a smile on anyone’s face,3d-lamps,Surprise-Gifts,17477,comment-10380
Raving Hearts – 3D Lamp,https://www.bookthesurprise.com/surprise/raving-hearts-3d-lamp/,2499.0,5.0,This 3D lamp filled with hearts is a good way of expressing your love,3d-lamps,Surprise-Gifts,17483,comment-10391
Love Struck – 3D Lamp,https://www.bookthesurprise.com/surprise/love-struck-3d-lamp/,2499.0,5.0,Heart shaped 3D lamp that will leave your partner love struck for sure,3d-lamps,Surprise-Gifts,17491,comment-10390
