Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions,Captions
139441,Photo,2,12,4,3,0.0,2752,5091,178,109,159,3078,1640,119,4,79.0,17.0,100,"When woman support another woman, the world experience the change for better❣️

Let’s meet the powerful women of @sanshilfoundation and appreciate their efforts of growing together👏

#womensday #womenempowerment #women #womensupportingwomen #womenempoweringwomen #womensday2022 #womensdaycelebration #bookthesurprise"
139441,Status,2,12,3,10,0.0,10460,19057,1457,1361,1674,11710,6112,1108,5,130.0,29.0,164,"Let’s pledge to empower another woman at work place, and home,
Let’s start believing in oneself and then only, we will be able to emerge like a phoenix!

#womenempowerment #womensday #womensupportingwomen #womenempoweringwomen #womensday2022 #womensdaycelebration #morethanawoman #womensrights #internationalwomensday #breakthebias #genderequality"
139441,Photo,3,12,3,3,0.0,2413,4373,177,113,154,2812,1503,132,0,66.0,14.0,80,"Celebrate her innocence and make her feel valued with Fresh Blooms🥰

#flowers #flowerstagram #flowers🌸 #bookthesurprise #floralarrangement #bunchofflowers #bouquet #bouquetofflowers #morethanawoman #womenempowerment #womensday #women #womensupportingwomen #womensday2022 #womensdaycelebration #woman #womenempoweringwomen"
139441,Photo,2,12,2,10,1.0,50128,87991,2211,790,1119,61027,32048,1386,58,1572.0,147.0,1777,"Add the beauty of greens in your woman’s life and create a positive aura around her❣️

#houseplant #plants #plantsofinstagram #houseplants #plant #plantsmakepeoplehappy #plantlover #indoorplants #houseplantsofinstagram #plantlife #plantstagram #plantaddict #indoorjungle #plantlove #plantmom #houseplantcommunity #plantlady #homedecor #indoorplant #l #nature #plantsplantsplants #indoorgarden #terrarium #gracefulgreens #terrariumlove #womenempowerment #womensday #womensupportingwomen #womensday2022"
139441,Photo,2,12,2,3,0.0,7244,13594,671,410,580,6228,3200,396,19,325.0,49.0,393,"Express Your Love With Aromatic Blooms😍❤️

#flowers #flowerstagram #flowers🌸 #bookthesurprise #floralarrangement #bunchofflowers #bouquet #bouquetofflowers"
139441,Status,2,12,1,9,0.0,10472,20849,1191,1073,1389,16034,7852,1016,1,152.0,33.0,186,"Dive into the flavours that calms your soul❤️😋

#cakeislove #cakelover #bakeryatbookthesurprise #onlinebakery #birthdaycake #anniversarycake #cakelove #foodie #gurgaon #bakery #cakedesign #cakehouse #pinatacake #redvelvetcake #chocolate #chocolatecake #chocolatelovers #cakesofinstagram #cakeporn #dessertsofinstagram #dessertporn #dessert"
139441,Photo,3,12,1,3,1.0,11692,19479,481,265,364,15432,9328,379,3,249.0,27.0,279,"Presenting delectable cakes for every celebration😍😋

#cakeislove #cakelover #bakeryatbookthesurprise #onlinebakery #birthdaycake #anniversarycake #cakelove #foodie #gurgaon #bakery #cakedesign #cakehouse #pinatacake #redvelvetcake #chocolate #chocolatecake #chocolatelovers #cakesofinstagram #cakeporn #dessertsofinstagram #dessertporn #dessert"
139441,Photo,3,12,7,9,1.0,13720,24137,537,232,305,19728,11056,422,0,325.0,14.0,339,"Beautiful blooms for the gorgeous you❤️

#flowers #flowerstagram #flowers🌸 #bookthesurprise #floralarrangement #bunchofflowers #bouquet #bouquetofflowers"
139441,Status,2,12,7,3,0.0,11844,22538,1530,1407,1692,15220,7912,1250,0,161.0,31.0,192,"Congratulations 🎉🎉

Please DM your contact details and address.
You will receive the hamper by 25 Feb.

Thank you for participating ! Stay tuned for other giveaways ☺️

#contest #contestalert #contestgiveaway #giveawayalert #winner #winnerannouncement #valentines2022 #hampers #bookthesurprise #lovemonth"
139441,Photo,3,12,6,10,0.0,4694,8668,280,183,250,4309,2324,199,3,113.0,26.0,142,Love mein thode aur effort ... Love mein thodi aur shaintaniya.... Happy Valentine's day ☺️ #valentineday #valentinesgift #valentinedaygift #proposalideas #longdistancerelationship #longdistance #reeltrending
