Date,number_of_Likes,number_of_Comments
2021-03-18,429,13
2021-08-15,367,19
2021-09-10,101,4
2019-10-23,277,5
2021-09-25,31,2
2020-12-31,2984,15
2021-08-22,454,13
2021-08-16,120,5
2020-02-22,241,4
2021-08-14,0,1
2021-08-23,23,2
2021-08-23,6,0
2021-08-22,45,5
2021-08-21,24,1
2021-08-19,46,5
2021-08-19,46,15
2020-02-23, 48,2
2020-02-24,4,0
2020-02-25,26,0
2020-02-26,26,0
2020-02-27,10,1
2020-02-02,49,4
2020-02-01,14,2
2020-02-03,16,0
2020-02-04,18,1
2020-02-06,70,20
2020-02-07,15,0
2020-02-12,0,0
2020-02-22,7,0
2020-02-16,11,0
2020-02-15,10,1
2020-02-19,37,0
2020-02-17,8,0
2021-03-18,429,13
2021-08-15,367,19
2021-09-10,101,4
2019-10-23,277,5
2021-09-25,31,2
2020-12-31,2984,15
2021-08-22,454,13
2021-08-16,120,5
2020-02-22,241,4
2021-08-14,0,1
2021-08-23,23,2
2021-08-23,6,0
2021-08-22,45,5
2021-08-21,24,1
2021-08-19,46,5
2021-08-19,46,15
2020-02-28,48,2
2020-02-26,4,0
2020-02-25,26,0
2020-02-24,26,0
2020-02-24,10,1
2020-02-23,49,4
2020-02-22,14,2
2020-02-22,16,0
2020-02-22,18,1
2020-02-16,70,20
2020-02-16,15,0
2020-02-15,0,0
2020-02-14,11,0
2020-02-14,10,1
2020-02-14,37,0
2020-02-13,8,0
2020-02-13,11,0
2020-02-13,15,0
2020-02-13,10,0
2021-03-18,429,13
2021-09-10,101,4
2019-10-23,277,5
2021-09-25,31,2
2020-12-31,2984,15
2021-08-22,454,13
2021-08-16,120,5
2020-02-22,241,4
2021-08-14,0,1
2021-08-23,23,2
2021-08-23,6,0
2021-08-22,45,5
2021-08-21,24,1
2021-08-19,46,5
2021-08-19,46,15
2020-02-28,48,2
2020-02-26,4,0
2020-02-25,26,0
2020-02-24,26,0
2020-02-24,10,1
2020-02-23,49,4
2020-02-22,14,2
2020-02-22,16,0
2020-02-22,18,1
2020-02-16,15,0
2020-02-15,0,0
2020-02-14,11,0
2020-02-14,10,1
2020-02-14,37,0
2020-02-13,8,0
2020-02-13,11,0
2020-02-13,15,0
2020-02-13,2,1
2020-02-12,16,0
2020-02-11,5,0
2020-02-10,94,1
2020-02-10,80,0
2020-02-10,14,0
2020-02-09,11,0
2020-02-09,3,0
2020-02-08,2,0
2020-02-07,7,0
2020-02-07,0,0
2021-03-18,429,13
2021-08-15,367,19
2021-09-10,101,4
2019-10-23,277,5
2021-09-25,31,2
2020-12-31,2984,15
2021-08-22,454,13
2021-08-16,120,5
2020-02-22,241,4
2020-02-25,26,0
2020-02-24,26,0
2020-02-24,10,1
2020-02-23,49,4
2020-02-22,14,2
2020-02-22,16,0
2020-02-22,18,1
2020-02-16,70,20
2020-02-16,15,0
2020-02-15,0,0
2020-02-14,7,0
2020-02-14,11,0
2020-02-14,37,0
2020-02-13,8,0
2020-02-13,15,0
2020-02-13,10,0
2020-02-13,2,1
2020-02-12,16,0
2020-02-11,5,0
2020-02-10,94,1
2020-02-10,80,0
2020-02-10,14,0
2020-02-09,11,0
2020-02-09,29,1
2020-02-09,3,0
2020-02-08,2,0
2020-02-07,7,0
2020-02-07,0,0
2020-02-07,0,0
2020-02-06,3,0
2020-02-06,0,0
2020-02-04,0,0
2020-02-04,0,0
2020-02-02,24,0
2020-02-02,42,2
